BTC,Bitcoin  
ETH,Ethereum  
XRP,Ripple  
BCH,Bitcoin Cash 
EOS,Bitcoin  
XLM,Stellar  
LTC,Litecoin  
ADA,Cardano  
USDT,Tether  
XMR,Monero  
MIOTA,IOTA  
TRX,TRON  
DASH,Bitcoin  
ETC,Ethereum Classic 
NEO,Bitcoin  
XEM,NEM Bitcoin 
BNB,Binance Coin 
XTZ,Tezos  
ZEC,Zcash  
OMG,OmiseGO  
VET,VeChain  
ZRX,0x  
QTUM,Bitcoin  
LSK,Lisk  
DCR,Decred  
BCN,Bytecoin  
BTG,Bitcoin Gold 
MKR,Maker Bitcoin 
BTS,BitShares  
DOGE,Dogecoin  
DGB,DigiByte  
MOAC,MOAC  
STEEM,Bitcoin  
AE,Aeternity  
ICX,ICON  
ZIL,Zilliqa  
WAVES,Bitcoin  
REP,Augur  
ONT,Ontology  
BAT,Basic Attention token
SC,Siacoin  
XVG,Verge  
BCD,Bitcoin Diamond 
BTM,Bytom  
RHOC,RChain  
PPT,Populous  
GNT,Golem  
STRAT,Stratis  
MITH,Mithril  
NPXS,Pundi X 
HSR,Hshare  
NANO,Bitcoin  
KCS,KuCoin Shares 
SNT,Status  
KMD,Komodo  
ETP,Metaverse ETP 
DCN,Dentacoin  
MAID,MaidSafeCoin  
HT,Huobi Token 
ARDR,Ardor  
MONA,MonaCoin  
IOST,IOST  
KIN,Kin  
CNX,Cryptonex  
AOA,Aurora  
DGD,DigixDAO  
ELF,aelf  
WTC,Waltonchain  
LINK,ChainLink  
XIN,Mixin  
MCO,MCO Bitcoin 
ZEN,ZenCash  
GXS,GXChain  
BNT,Bancor  
HOT,Holo  
FUN,FunFair Bitcoin 
MANA,Decentraland  
AION,Aion  
EMC,Emercoin  
WAN,Wanchain  
NXT,Bitcoin  
ARK,Ark  
XZC,ZCoin  
BTCP,Bitcoin Private 
TUSD,TrueUSD  
POWR,Power Ledger 
WAX,Bitcoin  
DROP,Dropil  
NULS,Nuls Bitcoin 
PAY,TenX  
RDD,ReddCoin  
LRC,Loopring  
ETN,Electroneum  
PIVX,PIVX  
CMT,CyberMiles  
QASH,QASH  
NAS,Nebulas  
KNC,Kyber Network 
CENNZ,Centrality  
DAI,Dai  
ICN,Iconomi  
SMART,SmartCash  
PZM,PRIZM  
POLY,Polymath  
BIX,Bibox Token 
ENG,Enigma Bitcoin 
THETA,Theta Token 
DIG,Dignity  
TPAY,TokenPay  
SYS,Syscoin  
ELA,Elastos  
NXS,Nexus Bitcoin 
LOOM,Loom Network Bitcoin
ZCL,Zclassic Bitcoin 
VERI,Veritaseum  
GAS,Bitcoin  
NMC,Namecoin  
WICC,WaykiChain  
SUB,Substratum  
FCT,Factom  
CVC,Civic Bitcoin 
GTO,Gifto  
STORJ,Storj  
IGNIS,Ignis  
SAN,Santiment Network 
ODE,ODEM  
GNO,Gnosis  
MAN,Matrix AI Network
DRGN,Dragonchain  
TEN,Tokenomy  
CVT,CyberVein  
CRPT,Crypterium  
NOAH,Noah Coin 
RVN,Ravencoin  
PAYX,Paypex  
HPB,High Performance 
CTXC,Cortex  
GBYTE,Byteball Bytes 
AUTO,Cube  
STORM,Storm Bitcoin 
SALT,Bitcoin  
VTC,Vertcoin  
ANT,Aragon  
UNO,Unobtanium  
PART,Particl Bitcoin 
BLOCK,Blocknet Bitcoin 
NEXO,Nexo Bitcoin 
ETHOS,Bitcoin  
NTY,Nexty  
GTC,Game.com  
MEDX,MediBloc [ERC20] 
DAX,DAEX  
PPC,Peercoin  
FSN,Fusion  
SAFEX,Safe Exchange... 
RLC,iExec RLC 
FXT,FuzeX  
BRD,Bread Bitcoin 
DENT,Dent Bitcoin 
DTR,Dynamic Trading 
ENJ,Enjin Coin 
KICK,KickCoin  
GRS,Groestlcoin  
BFT,BnkToTheFuture  
BITCNY,bitCNY  
C20,CRYPTO20  
TNB,Time New Bank
EDG,Edgeless Bitcoin 
UBQ,Ubiq Bitcoin 
REQ,Request Network Bitcoin
UCASH,U.CASH  
BCI,Bitcoin Interest 
BCO,BridgeCoin  
XWC,WhiteCoin  
AGI,SingularityNET  
LCC,Litecoin Cash 
CND,Cindicator  
XPM,Primecoin  
CS,Credits  
NCASH,Nucleus Vision 
R,Revain  
SKY,Skycoin  
BLZ,Bluzelle  
XAS,Asch  
SMT,SmartMesh  
MNX,MinexCoin  
TTU,TaTaTu  
BOS,BOScoin  
DDD,Scry.info  
ION,Bitcoin  
NEC,Bitcoin  
ACT,Achain  
LYL,LoyalCoin  
BTCD,BitcoinDark  
QSP,Quantstamp  
LEO,LEOcoin  
EDO,Eidoo  
NEBL,Neblio  
MDS,MediShares  
